title,review,homepage,discount,original_price,publish_date,image
Deus Ex: Mankind Divided - Digital Deluxe Edition,"Mixed<br>67% of the 14,749 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/1785/Deus_Ex_Mankind_Divided__Digital_Deluxe_Edition/?snr=1_7_7_204_150_3,-82%,¥ 240,,https://media.st.dl.bscstorage.net/steam/bundles/1785/qhzoqyp6rxuvrsne/capsule_sm_120.jpg?t=1479987504
Super Seducer 2,Very Positive<br>83% of the 290 user reviews for this game are positive.,https://store.steampowered.com/app/863570/Super_Seducer_2/?snr=1_7_7_204_150_3,-33%,¥ 43,"13 Sep, 2018",https://media.st.dl.bscstorage.net/steam/apps/863570/capsule_sm_120.jpg?t=1537981990
Mola mola,Mostly Positive<br>77% of the 112 user reviews for this game are positive.,https://store.steampowered.com/app/984750/Mola_mola/?snr=1_7_7_204_150_3,-45%,¥ 11,"11 Jan, 2019",https://media.st.dl.bscstorage.net/steam/apps/984750/capsule_sm_120.jpg?t=1547259590
Frog Demon,,https://store.steampowered.com/app/810770/Frog_Demon/?snr=1_7_7_204_150_3,-91%,¥ 69,"11 Dec, 2018",https://media.st.dl.bscstorage.net/steam/apps/810770/capsule_sm_120.jpg?t=1544535676
Super Blasting Boy,Positive<br>80% of the 30 user reviews for this game are positive.,https://store.steampowered.com/app/961860/Super_Blasting_Boy/?snr=1_7_7_204_150_3,-86%,¥ 22,"27 Oct, 2018",https://media.st.dl.bscstorage.net/steam/apps/961860/capsule_sm_120.jpg?t=1540639579
Baltic Bundle,"Very Positive<br>94% of the 1,267 user reviews for games in this bundle are positive.",https://store.steampowered.com/bundle/9219/Baltic_Bundle/?snr=1_7_7_204_150_3,-32%,¥ 90,,https://media.st.dl.bscstorage.net/steam/bundles/9219/ku54yvy9h3mm0y6d/capsule_sm_120.jpg?t=1543492809
Trine 3: The Artifacts of Power,"Mixed<br>67% of the 4,063 user reviews for this game are positive.",https://store.steampowered.com/app/319910/Trine_3_The_Artifacts_of_Power/?snr=1_7_7_204_150_3,-75%,¥ 72,"20 Aug, 2015",https://media.st.dl.bscstorage.net/steam/apps/319910/capsule_sm_120.jpg?t=1547126830
Supreme Commander: Forged Alliance,"Overwhelmingly Positive<br>96% of the 2,974 user reviews for this game are positive.",https://store.steampowered.com/app/9420/Supreme_Commander_Forged_Alliance/?snr=1_7_7_204_150_3,-80%,¥ 45,"28 Sep, 2011",https://media.st.dl.bscstorage.net/steam/apps/9420/capsule_sm_120.jpg?t=1525193471
Lara Croft GO,Very Positive<br>91% of the 857 user reviews for this game are positive.,https://store.steampowered.com/app/540840/Lara_Croft_GO/?snr=1_7_7_204_150_3,-75%,¥ 36,"4 Dec, 2016",https://media.st.dl.bscstorage.net/steam/apps/540840/capsule_sm_120.jpg?t=1488574513
Sniper Ghost Warrior 3,"Mixed<br>52% of the 3,346 user reviews for this game are positive.",https://store.steampowered.com/app/368070/Sniper_Ghost_Warrior_3/?snr=1_7_7_204_150_3,-40%,¥ 70,"24 Apr, 2017",https://media.st.dl.bscstorage.net/steam/apps/368070/capsule_sm_120.jpg?t=1530714579
Shortest Trip to Earth,Very Positive<br>80% of the 143 user reviews for this game are positive.,https://store.steampowered.com/app/812040/Shortest_Trip_to_Earth/?snr=1_7_7_204_150_3,-26%,¥ 70,"9 Oct, 2018",https://media.st.dl.bscstorage.net/steam/apps/812040/capsule_sm_120.jpg?t=1540828095
CASE: Animatronics,Very Positive<br>83% of the 859 user reviews for this game are positive.,https://store.steampowered.com/app/489360/CASE_Animatronics/?snr=1_7_7_204_150_3,-90%,¥ 29,"3 Aug, 2016",https://media.st.dl.bscstorage.net/steam/apps/489360/capsule_sm_120.jpg?t=1541705784
爱上火车-Pure Station- Maitetsu:Pure Station,Overwhelmingly Positive<br>97% of the 563 user reviews for this game are positive.,https://store.steampowered.com/app/880950/Pure_Station__MaitetsuPure_Station/?snr=1_7_7_204_150_3,-46%,¥ 98,"21 Sep, 2018",https://media.st.dl.bscstorage.net/steam/apps/880950/capsule_sm_120.jpg?t=1539692294
Evil Bank Manager,Mostly Positive<br>77% of the 320 user reviews for this game are positive.,https://store.steampowered.com/app/896160/Evil_Bank_Manager/?snr=1_7_7_204_150_3,-27%,¥ 41,"7 Dec, 2018",https://media.st.dl.bscstorage.net/steam/apps/896160/capsule_sm_120.jpg?t=1547027121
Trine Enchanted Edition,"Overwhelmingly Positive<br>96% of the 7,504 user reviews for this game are positive.",https://store.steampowered.com/app/35700/Trine_Enchanted_Edition/?snr=1_7_7_204_150_3,-85%,¥ 48,"2 Jul, 2009",https://media.st.dl.bscstorage.net/steam/apps/35700/capsule_sm_120.jpg?t=1547126376
Gangsta Sniper,,https://store.steampowered.com/app/951640/Gangsta_Sniper/?snr=1_7_7_204_150_3,-83%,¥ 18,"12 Nov, 2018",https://media.st.dl.bscstorage.net/steam/apps/951640/capsule_sm_120.jpg?t=1546799305
Boxing School,Positive<br>80% of the 30 user reviews for this game are positive.,https://store.steampowered.com/app/939990/Boxing_School/?snr=1_7_7_204_150_3,-11%,¥ 37,"10 Jan, 2019",https://media.st.dl.bscstorage.net/steam/apps/939990/capsule_sm_120.jpg?t=1547153536
Daedalic - Gigantic Bundle,"Mostly Positive<br>74% of the 9,063 user reviews for games in this bundle are positive.",https://store.steampowered.com/sub/76471/?snr=1_7_7_204_150_3,-90%,¥ 322,"17 Nov, 2015",https://media.st.dl.bscstorage.net/steam/subs/76471/capsule_sm_120.jpg?t=1481563053
Tank Warfare: Tunisia 1943,Very Positive<br>81% of the 121 user reviews for this game are positive.,https://store.steampowered.com/app/549080/Tank_Warfare_Tunisia_1943/?snr=1_7_7_204_150_3,-80%,¥ 112,"1 May, 2017",https://media.st.dl.bscstorage.net/steam/apps/549080/capsule_sm_120.jpg?t=1541417779
Lionheart,,https://store.steampowered.com/app/494160/Lionheart/?snr=1_7_7_204_150_3,-91%,¥ 68,"31 Jul, 2017",https://media.st.dl.bscstorage.net/steam/apps/494160/capsule_sm_120.jpg?t=1501567081
Road Redemption,"Very Positive<br>81% of the 4,589 user reviews for this game are positive.",https://store.steampowered.com/app/300380/Road_Redemption/?snr=1_7_7_204_150_3,-56%,¥ 68,"4 Oct, 2017",https://media.st.dl.bscstorage.net/steam/apps/300380/capsule_sm_120.jpg?t=1542857959
Tomb Raider: Underworld,"Mostly Positive<br>75% of the 1,916 user reviews for this game are positive.",https://store.steampowered.com/app/8140/Tomb_Raider_Underworld/?snr=1_7_7_204_150_3,-91%,¥ 34,"21 Nov, 2008",https://media.st.dl.bscstorage.net/steam/apps/8140/capsule_sm_120.jpg?t=1536770504
The Age of Decadence,"Very Positive<br>81% of the 1,790 user reviews for this game are positive.",https://store.steampowered.com/app/230070/The_Age_of_Decadence/?snr=1_7_7_204_150_3,-76%,¥ 50,"14 Oct, 2015",https://media.st.dl.bscstorage.net/steam/apps/230070/capsule_sm_120.jpg?t=1526777601
Super Jigsaw Puzzle: Space,,https://store.steampowered.com/app/951700/Super_Jigsaw_Puzzle_Space/?snr=1_7_7_204_150_4,-77%,¥ 22,"26 Oct, 2018",https://media.st.dl.bscstorage.net/steam/apps/951700/capsule_sm_120.jpg?t=1541580496
Deployment,Very Positive<br>91% of the 148 user reviews for this game are positive.,https://store.steampowered.com/app/755980/Deployment/?snr=1_7_7_204_150_4,-79%,¥ 14,"10 Apr, 2018",https://media.st.dl.bscstorage.net/steam/apps/755980/capsule_sm_120.jpg?t=1541508233
